Feature,Category,Count,Percentage,Mean_Price,Median_Price,Std_Price,Min_Price,Max_Price,Price_Range,Diff_from_Overall_Median,Diff_from_Overall_Median_Pct,Interpretation
Tenure Type,Freehold,1329,67.15512885295604,540919.3769751693,438000.0,375323.3959113195,98000,4000000,3902000,20000.0,4.784688995215311,Average category - close to market median
Tenure Type,Leasehold,650,32.84487114704396,429982.7753846154,385000.0,235845.62717589134,48000,2500000,2452000,-33000.0,-7.894736842105263,Average category - close to market median
Property Type,Duplex,1,0.05053057099545225,663000.0,663000.0,,663000,663000,0,245000.0,58.61244019138756,Premium category - significantly above market median
Property Type,Townhouse Condo,2,0.1010611419909045,596500.0,596500.0,143542.67658086916,495000,698000,203000,178500.0,42.70334928229665,Premium category - significantly above market median
Property Type,Others,4,0.202122283981809,584500.0,544000.0,229639.5726640627,350000,900000,550000,126000.0,30.14354066985646,Premium category - significantly above market median
Property Type,Condominium,1142,57.70591207680646,592575.9194395797,490000.0,395033.00963728,48000,4000000,3952000,72000.0,17.22488038277512,Above average category - moderately above market median
Property Type,Service Residence,340,17.180394138453764,485852.7205882353,440000.0,233827.77873849202,148000,2300000,2152000,22000.0,5.263157894736842,Average category - close to market median
Property Type,Studio,4,0.202122283981809,402525.0,413550.0,134744.08768724016,240000,543000,303000,-4450.0,-1.0645933014354065,Average category - close to market median
Property Type,Apartment,471,23.799898938858007,314449.95966029726,300000.0,91401.39433558907,98000,890000,792000,-118000.0,-28.22966507177033,Budget category - significantly below market median
Property Type,Flat,15,0.7579585649317837,169933.33333333334,155000.0,35129.285029255385,120000,230000,110000,-263000.0,-62.91866028708134,Budget category - significantly below market median
Category,"Apartment / Condominium, For Sale",1979,100.0,504482.39312784234,418000.0,339915.93956712703,48000,4000000,3952000,0.0,0.0,Average category - close to market median
Land Title,Malay Reserved,2,0.1010611419909045,564000.0,564000.0,93338.09511662427,498000,630000,132000,146000.0,34.92822966507177,Premium category - significantly above market median
Land Title,Non Bumi Lot,1745,88.17584638706417,521376.506017192,428000.0,350798.8878872437,48000,4000000,3952000,10000.0,2.3923444976076556,Average category - close to market median
Land Title,Bumi Lot,232,11.723092470944922,376899.3663793103,342000.0,204252.95734536712,140000,2500000,2360000,-76000.0,-18.181818181818183,Below average category - moderately below market median
