,Bedroom,Bathroom,Property Size,Nearby School,Completion Year,# of Floors,Total Units,Parking Lot,Mall,Park,Hospital,price,Highway,Nearby Railway Station,num_facilities
Bedroom,1.0,0.6303186167096991,0.5080433394430761,,-0.09632051381683457,-0.04688825166665502,-0.08752057262044459,0.18704702488607633,,,,0.3578194088900951,,,0.028185420690243757
Bathroom,0.6303186167096991,1.0,0.6219473166990857,,0.03315637031439924,-0.015084946909157928,-0.10948218975773207,0.2988139691175024,,,,0.579926295200703,,,0.1378280259736665
Property Size,0.5080433394430761,0.6219473166990857,1.0,,0.029112873582820716,-0.024796407566988886,-0.13398543058337617,0.32423780064495633,,,,0.6219538628983978,,,0.1401021000110703
Nearby School,,,,,,,,,,,,,,,
Completion Year,-0.09632051381683457,0.03315637031439924,0.029112873582820716,,1.0,0.1654179520408695,0.24415749081844954,0.3468146375565688,,,,0.21634625045779463,,,0.22740142149765358
# of Floors,-0.04688825166665502,-0.015084946909157928,-0.024796407566988886,,0.1654179520408695,1.0,0.12122893717977054,0.020051926381145977,,,,0.04814986139757132,,,0.06068211321791268
Total Units,-0.08752057262044459,-0.10948218975773207,-0.13398543058337617,,0.24415749081844954,0.12122893717977054,1.0,-0.00422735247458042,,,,-0.11175068282009573,,,0.051225685694899215
Parking Lot,0.18704702488607633,0.2988139691175024,0.32423780064495633,,0.3468146375565688,0.020051926381145977,-0.00422735247458042,1.0,,,,0.3943149745252529,,,0.11370173011284057
Mall,,,,,,,,,,,,,,,
Park,,,,,,,,,,,,,,,
Hospital,,,,,,,,,,,,,,,
price,0.3578194088900951,0.579926295200703,0.6219538628983978,,0.21634625045779463,0.04814986139757132,-0.11175068282009573,0.3943149745252529,,,,1.0,,,0.17788383847669845
Highway,,,,,,,,,,,,,,,
Nearby Railway Station,,,,,,,,,,,,,,,
num_facilities,0.028185420690243757,0.1378280259736665,0.1401021000110703,,0.22740142149765358,0.06068211321791268,0.051225685694899215,0.11370173011284057,,,,0.17788383847669845,,,1.0
