Num_Facilities,Property_Count,Percentage,Mean_Price,Median_Price,Std_Price,Diff_from_Overall_Median,Diff_from_Overall_Median_Pct,Interpretation
1,182,9.19656392117231,490296.68131868134,368000.0,448509.82638828334,-50000.0,-11.961722488038278,Low facility count - below average pricing
2,36,1.8191005558362812,362194.44444444444,298000.0,219323.0910186346,-120000.0,-28.708133971291865,Low facility count - below average pricing
3,70,3.5371399696816574,320157.1,292500.0,108239.76153169929,-125500.0,-30.023923444976074,Low facility count - below average pricing
4,102,5.154118241536129,369873.51960784313,338800.0,147257.19328115744,-79200.0,-18.947368421052634,Low facility count - below average pricing
5,167,8.438605356240526,451721.48502994014,385000.0,232322.04561615622,-33000.0,-7.894736842105263,Low facility count - below average pricing
6,165,8.33754421424962,433120.52121212124,380000.0,231351.10398748194,-38000.0,-9.090909090909092,Low facility count - below average pricing
7,213,10.76301162203133,513091.3333333333,420000.0,297936.6803775635,2000.0,0.4784688995215311,Average facility count - typical pricing
8,225,11.369378473976756,499108.14666666667,400000.0,248622.15765016945,-18000.0,-4.30622009569378,Average facility count - typical pricing
9,254,12.834765032844873,547615.9842519684,439000.0,379838.436897946,21000.0,5.023923444976076,Above average facility count - moderately higher pricing
10,182,9.19656392117231,512067.4835164835,467750.0,242272.0659895104,49750.0,11.901913875598085,Above average facility count - moderately higher pricing
11,152,7.6806467913087415,606249.6842105263,488888.0,417505.5466353276,70888.0,16.95885167464115,High facility count - premium pricing
12,57,2.8802425467407784,521237.1754385965,466000.0,230560.3089055259,48000.0,11.483253588516746,Above average facility count - moderately higher pricing
13,54,2.7286508337544215,754649.8148148148,538000.0,732856.8477952175,120000.0,28.708133971291865,High facility count - premium pricing
14,120,6.06366851945427,604725.8333333334,519000.0,401492.89046225545,101000.0,24.16267942583732,High facility count - premium pricing
