Property Type,Tenure Type,count,mean,median,std,min,max,Price_Range,Diff_from_Overall_Median,Diff_from_Overall_Median_Pct
Duplex,Freehold,1,663000.0,663000.0,,663000,663000,0,245000.0,58.61244019138756
Townhouse Condo,Freehold,2,596500.0,596500.0,143542.67658086916,495000,698000,203000,178500.0,42.70334928229665
Others,Leasehold,3,662666.6666666666,558000.0,206012.9445771147,530000,900000,370000,140000.0,33.49282296650718
Condominium,Freehold,827,633353.2394195888,520000.0,429307.9876270932,178000,4000000,3822000,102000.0,24.401913875598087
Studio,Leasehold,1,477100.0,477100.0,,477100,477100,0,59100.0,14.138755980861244
Condominium,Leasehold,315,485519.27301587304,445000.0,257577.40424870056,48000,2500000,2452000,27000.0,6.4593301435406705
Service Residence,Freehold,209,483580.0861244019,445000.0,214572.4992677799,148000,1540000,1392000,27000.0,6.4593301435406705
Service Residence,Leasehold,131,489478.5267175573,440000.0,262467.0941192828,160000,2300000,2140000,22000.0,5.263157894736842
Studio,Freehold,3,377666.6666666667,350000.0,153382.9629826381,240000,543000,303000,-68000.0,-16.267942583732058
Others,Freehold,1,350000.0,350000.0,,350000,350000,0,-68000.0,-16.267942583732058
Apartment,Freehold,272,324586.3419117647,319500.0,98824.17929116692,98000,890000,792000,-98500.0,-23.56459330143541
Apartment,Leasehold,199,300595.20603015076,288000.0,78292.70199391412,150000,595000,445000,-130000.0,-31.100478468899524
Flat,Freehold,14,171714.2857142857,167500.0,35745.74438668528,120000,230000,110000,-250500.0,-59.928229665071775
Flat,Leasehold,1,145000.0,145000.0,,145000,145000,0,-273000.0,-65.311004784689
